id,speciality_code,test_code,name_uz,name_cy,name_ru,name_en,created_at,updated_at,admission,type,year,subject_1,subject_2,subject_3
40916,5110100,,Matematika va informatika,Matematika va informatika,Matematika va informatika,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:100;s:7:""quote_p"";d:50;s:7:""place_c"";i:13;s:7:""place_p"";i:10;s:10:""ball_con_c"";d:147.09999999999999;s:10:""ball_con_p"";d:126;s:14:""avg_ball_con_c"";d:153.80000000000001;s:14:""avg_ball_con_p"";d:154.09999999999999;s:10:""ball_gra_c"";d:167.30000000000001;s:10:""ball_gra_p"";d:210.19999999999999;s:14:""avg_ball_gra_c"";d:187.19999999999999;s:14:""avg_ball_gra_p"";d:215.80000000000001;}",0,2020,101,21,22
40917,5110200,,Fizika va astronomiya,Fizika va astronomiya,Fizika va astronomiya,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:20;s:7:""quote_p"";d:90;s:7:""place_c"";i:16;s:7:""place_p"";d:10.5;s:10:""ball_con_c"";d:138.5;s:10:""ball_con_p"";d:154.09999999999999;s:14:""avg_ball_con_c"";d:150.40000000000001;s:14:""avg_ball_con_p"";d:173.5;s:10:""ball_gra_c"";d:174.19999999999999;s:10:""ball_gra_p"";d:212.19999999999999;s:14:""avg_ball_gra_c"";d:191.80000000000001;s:14:""avg_ball_gra_p"";d:217.09999999999999;}",0,2020,101,21,22
40918,5110800,,Tasviriy sanʼat va muhandislik grafikasi,Tasviriy sanʼat va muhandislik grafikasi,Tasviriy sanʼat va muhandislik grafikasi,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:80;s:7:""quote_p"";d:20;s:7:""place_c"";d:16.5;s:7:""place_p"";i:10;s:10:""ball_con_c"";d:158.09999999999999;s:10:""ball_con_p"";d:140.09999999999999;s:14:""avg_ball_con_c"";d:171.09999999999999;s:14:""avg_ball_con_p"";d:159.40000000000001;s:10:""ball_gra_c"";d:197.09999999999999;s:10:""ball_gra_p"";d:198.09999999999999;s:14:""avg_ball_gra_c"";d:207.09999999999999;s:14:""avg_ball_gra_p"";d:207.69999999999999;}",0,2020,101,21,22
40919,5110900,,Pedagogika va psixologiya,Pedagogika va psixologiya,Pedagogika va psixologiya,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:20;s:7:""quote_p"";d:70;s:7:""place_c"";d:8.5;s:7:""place_p"";d:6.5;s:10:""ball_con_c"";d:156.09999999999999;s:10:""ball_con_p"";d:143.30000000000001;s:14:""avg_ball_con_c"";d:174.80000000000001;s:14:""avg_ball_con_p"";d:149.69999999999999;s:10:""ball_gra_c"";d:212.19999999999999;s:10:""ball_gra_p"";d:162.5;s:14:""avg_ball_gra_c"";d:217.09999999999999;s:14:""avg_ball_gra_p"";d:184;}",0,2020,101,21,22
40920,5111100,,Musiqa taʼlimi,Musiqa taʼlimi,Musiqa taʼlimi,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:110;s:7:""quote_p"";d:120;s:7:""place_c"";d:13.5;s:7:""place_p"";i:17;s:10:""ball_con_c"";d:149.30000000000001;s:10:""ball_con_p"";d:130.09999999999999;s:14:""avg_ball_con_c"";d:156.59999999999999;s:14:""avg_ball_con_p"";d:145.40000000000001;s:10:""ball_gra_c"";d:171.09999999999999;s:10:""ball_gra_p"";d:176.09999999999999;s:14:""avg_ball_gra_c"";d:189.69999999999999;s:14:""avg_ball_gra_p"";d:193.09999999999999;}",0,2020,101,21,22
40921,5111400,,Xorijiy til va adabiyoti: ingliz tili,Xorijiy til va adabiyoti: ingliz tili,Xorijiy til va adabiyoti: ingliz tili,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:60;s:7:""quote_p"";d:120;s:7:""place_c"";d:11.5;s:7:""place_p"";i:10;s:10:""ball_con_c"";d:141.09999999999999;s:10:""ball_con_p"";d:125.3;s:14:""avg_ball_con_c"";d:154.09999999999999;s:14:""avg_ball_con_p"";d:151.30000000000001;s:10:""ball_gra_c"";d:180.09999999999999;s:10:""ball_gra_p"";d:203.30000000000001;s:14:""avg_ball_gra_c"";d:195.69999999999999;s:14:""avg_ball_gra_p"";d:211.19999999999999;}",0,2020,101,21,22
40922,5111401,,Xorijiy til va adabiyoti: nemis tili,Xorijiy til va adabiyoti: nemis tili,Xorijiy til va adabiyoti: nemis tili,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:30;s:7:""quote_p"";d:100;s:7:""place_c"";i:9;s:7:""place_p"";d:13.5;s:10:""ball_con_c"";d:133.09999999999999;s:10:""ball_con_p"";d:152;s:14:""avg_ball_con_c"";d:144.09999999999999;s:14:""avg_ball_con_p"";d:168.80000000000001;s:10:""ball_gra_c"";d:166;s:10:""ball_gra_p"";d:202.30000000000001;s:14:""avg_ball_gra_c"";d:186.30000000000001;s:14:""avg_ball_gra_p"";d:210.5;}",0,2020,101,21,22
40923,5111402,,Xorijiy til va adabiyoti: fransuz tili,Xorijiy til va adabiyoti: fransuz tili,Xorijiy til va adabiyoti: fransuz tili,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:100;s:7:""quote_p"";d:120;s:7:""place_c"";d:4.5;s:7:""place_p"";i:16;s:10:""ball_con_c"";d:144.30000000000001;s:10:""ball_con_p"";d:140.5;s:14:""avg_ball_con_c"";d:168.19999999999999;s:14:""avg_ball_con_p"";d:157.09999999999999;s:10:""ball_gra_c"";d:216.09999999999999;s:10:""ball_gra_p"";d:190.30000000000001;s:14:""avg_ball_gra_c"";d:219.69999999999999;s:14:""avg_ball_gra_p"";d:202.5;}",0,2020,101,21,22
40924,5111600,,"Milliy g‘oya, ma’naviyat asoslari va huquq ta’limi","Milliy g‘oya, ma’naviyat asoslari va huquq ta’limi","Milliy g‘oya, ma’naviyat asoslari va huquq ta’limi",,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:50;s:7:""quote_p"";d:40;s:7:""place_c"";d:11.5;s:7:""place_p"";i:5;s:10:""ball_con_c"";d:135.09999999999999;s:10:""ball_con_p"";d:120.09999999999999;s:14:""avg_ball_con_c"";d:151.80000000000001;s:14:""avg_ball_con_p"";d:148.09999999999999;s:10:""ball_gra_c"";d:185.09999999999999;s:10:""ball_gra_p"";d:204.19999999999999;s:14:""avg_ball_gra_c"";d:199.09999999999999;s:14:""avg_ball_gra_p"";d:211.80000000000001;}",0,2020,101,21,22
40925,5111700,,Boshlang‘ich ta’lim,Boshlang‘ich ta’lim,Boshlang‘ich ta’lim,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:100;s:7:""quote_p"";d:70;s:7:""place_c"";i:14;s:7:""place_p"";i:11;s:10:""ball_con_c"";d:150.30000000000001;s:10:""ball_con_p"";d:138.30000000000001;s:14:""avg_ball_con_c"";d:167.19999999999999;s:14:""avg_ball_con_p"";d:154.59999999999999;s:10:""ball_gra_c"";d:201.09999999999999;s:10:""ball_gra_p"";d:187.09999999999999;s:14:""avg_ball_gra_c"";d:209.69999999999999;s:14:""avg_ball_gra_p"";d:200.40000000000001;}",0,2020,101,21,22
